STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot
AL,01,Chilton County,021,01021,2015,43.943,0.33,0.16,0.49,--,0.49,0.57,0.00,0.00,0.57,0.33,0.00,0.33,0.33,0.51,0.00,0.00,0.51
AL,01,Choctaw County,023,01023,2015,13.170,0.01,0.16,0.17,--,0.17,0.07,0.00,0.00,0.07,0.01,0.00,0.01,0.01,0.01,0.00,0.00,0.01
AL,01,Clarke County,025,01025,2015,24.675,0.02,0.26,0.28,--,0.28,0.16,0.00,0.00,0.16,0.02,0.00,0.02,0.02,0.05,0.00,0.00,0.05
AL,01,Clay County,027,01027,2015,13.555,0.00,0.12,0.12,--,0.12,0.08,0.00,0.00,0.08,0.00,0.02,0.02,0.02,0.02,0.00,0.00,0.02
AL,01,Cleburne County,029,01029,2015,15.018,0.00,0.14,0.14,--,0.14,0.31,0.00,0.00,0.31,0.00,0.14,0.14,0.14,0.31,0.00,0.00,0.31
AL,01,Coffee County,031,01031,2015,51.211,0.68,3.19,3.87,--,3.87,5.07,0.00,0.00,5.07,0.68,2.72,3.40,3.40,4.81,0.00,0.00,4.81
AL,01,Colbert County,033,01033,2015,54.354,0.78,1.65,2.43,--,2.43,4.17,0.00,0.00,4.17,0.78,0.78,1.56,1.56,3.69,0.00,0.00,3.69
AL,01,Conecuh County,035,01035,2015,12.672,0.05,0.16,0.21,--,0.21,0.16,0.00,0.00,0.16,0.05,0.00,0.05,0.05,0.10,0.00,0.00,0.10
AL,01,Coosa County,037,01037,2015,10.724,0.00,0.10,0.10,--,0.10,0.06,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,01,Covington County,039,01039,2015,37.835,1.27,2.19,3.46,--,3.46,2.21,0.00,0.00,2.21,1.27,1.68,2.95,2.95,1.95,0.00,0.00,1.95
AL,01,Crenshaw County,041,01041,2015,13.963,0.00,0.58,0.58,--,0.58,0.96,0.00,0.00,0.96,0.00,0.48,0.48,0.48,0.90,0.00,0.00,0.90
AL,01,Cullman County,043,01043,2015,82.005,0.28,0.63,0.91,--,0.91,0.73,0.00,0.00,0.73,0.28,0.28,0.56,0.56,0.52,0.00,0.00,0.52
AL,01,Dale County,045,01045,2015,49.565,0.33,1.75,2.08,--,2.08,2.84,0.00,0.00,2.84,0.33,1.12,1.45,1.45,2.58,0.00,0.00,2.58
AL,01,Dallas County,047,01047,2015,41.131,0.69,2.51,3.20,--,3.20,3.17,0.00,0.00,3.17,0.69,2.10,2.79,2.79,2.91,0.00,0.00,2.91
AL,01,DeKalb County,049,01049,2015,71.130,0.49,2.15,2.64,--,2.64,1.03,0.00,0.00,1.03,0.49,1.48,1.97,1.97,0.67,0.00,0.00,0.67
AL,01,Elmore County,051,01051,2015,81.468,0.61,2.47,3.08,--,3.08,3.83,0.00,0.00,3.83,0.61,1.44,2.05,2.05,3.25,0.00,0.00,3.25
AL,01,Escambia County,053,01053,2015,37.789,1.00,0.74,1.74,--,1.74,1.96,0.00,0.00,1.96,1.00,0.33,1.33,1.33,1.75,0.00,0.00,1.75
AL,01,Etowah County,055,01055,2015,103.057,0.00,1.00,1.00,--,1.00,0.65,0.00,0.00,0.65,0.00,0.03,0.03,0.03,0.07,0.00,0.00,0.07
AL,01,Fayette County,057,01057,2015,16.759,0.00,0.37,0.37,--,0.37,0.45,0.00,0.00,0.45,0.00,0.21,0.21,0.21,0.39,0.00,0.00,0.39
AL,01,Franklin County,059,01059,2015,31.696,0.00,0.84,0.84,--,0.84,1.23,0.00,0.00,1.23,0.00,0.58,0.58,0.58,1.07,0.00,0.00,1.07
AL,01,Geneva County,061,01061,2015,26.777,2.51,2.96,5.47,--,5.47,8.86,0.00,0.00,8.86,2.51,2.86,5.37,5.37,8.80,0.00,0.00,8.80
AL,01,Greene County,063,01063,2015,8.479,0.32,0.13,0.45,--,0.45,0.44,0.00,0.00,0.44,0.32,0.03,0.35,0.35,0.38,0.00,0.00,0.38
AL,01,Hale County,065,01065,2015,15.068,0.91,0.16,1.07,--,1.07,1.96,0.00,0.00,1.96,0.91,0.00,0.91,0.91,1.86,0.00,0.00,1.86
AL,01,Henry County,067,01067,2015,17.221,1.43,4.44,5.87,--,5.87,8.58,0.00,0.00,8.58,1.43,4.28,5.71,5.71,8.52,0.00,0.00,8.52
AL,01,Houston County,069,01069,2015,104.173,5.14,2.41,7.55,--,7.55,13.19,0.00,0.00,13.19,5.14,1.11,6.25,6.25,12.67,0.00,0.00,12.67
AL,01,Jackson County,071,01071,2015,52.419,0.27,1.01,1.28,--,1.28,0.96,0.00,0.00,0.96,0.27,0.19,0.46,0.46,0.50,0.00,0.00,0.50
AL,01,Jefferson County,073,01073,2015,660.367,0.08,5.80,5.88,--,5.88,3.15,0.00,0.00,3.15,0.08,0.11,0.19,0.19,0.22,0.00,0.00,0.22
AL,01,Lamar County,075,01075,2015,13.886,0.00,0.24,0.24,--,0.24,0.80,0.00,0.00,0.80,0.00,0.08,0.08,0.08,0.70,0.00,0.00,0.70
AL,01,Lauderdale County,077,01077,2015,92.596,0.56,1.24,1.80,--,1.80,1.04,0.00,0.00,1.04,0.56,0.37,0.93,0.93,0.52,0.00,0.00,0.52
AL,01,Lawrence County,079,01079,2015,33.115,0.05,2.53,2.58,--,2.58,4.88,0.00,0.00,4.88,0.05,2.27,2.32,2.32,4.72,0.00,0.00,4.72
AL,01,Lee County,081,01081,2015,156.993,0.29,2.88,3.17,--,3.17,2.09,0.00,0.00,2.09,0.29,1.32,1.61,1.61,1.26,0.00,0.00,1.26
AL,01,Limestone County,083,01083,2015,91.663,2.47,7.28,9.75,--,9.75,15.88,0.00,0.00,15.88,2.47,6.71,9.18,9.18,15.52,0.00,0.00,15.52
AL,01,Lowndes County,085,01085,2015,10.458,0.00,5.73,5.73,--,5.73,5.10,0.00,0.00,5.10,0.00,5.73,5.73,5.73,5.10,0.00,0.00,5.10
AL,01,Macon County,087,01087,2015,19.105,2.39,3.53,5.92,--,5.92,3.66,0.00,0.00,3.66,2.39,3.53,5.92,5.92,3.66,0.00,0.00,3.66
AL,01,Madison County,089,01089,2015,353.089,5.00,4.15,9.15,--,9.15,11.61,0.00,0.00,11.61,5.00,1.65,6.65,6.65,10.41,0.00,0.00,10.41
AL,01,Marengo County,091,01091,2015,20.028,0.17,0.26,0.43,--,0.43,0.56,0.00,0.00,0.56,0.17,0.00,0.17,0.17,0.40,0.00,0.00,0.40
AL,01,Marion County,093,01093,2015,30.168,0.11,0.16,0.27,--,0.27,0.39,0.00,0.00,0.39,0.11,0.00,0.11,0.11,0.29,0.00,0.00,0.29
AL,01,Marshall County,095,01095,2015,94.725,0.78,1.29,2.07,--,2.07,1.13,0.00,0.00,1.13,0.78,0.03,0.81,0.81,0.33,0.00,0.00,0.33
AL,01,Mobile County,097,01097,2015,415.395,8.65,2.26,10.91,--,10.91,5.51,0.00,0.00,5.51,8.65,0.35,9.00,9.00,4.43,0.00,0.00,4.43
AL,01,Monroe County,099,01099,2015,21.673,0.41,0.16,0.57,--,0.57,1.05,0.00,0.00,1.05,0.41,0.00,0.41,0.41,0.95,0.00,0.00,0.95
AL,01,Montgomery County,101,01101,2015,226.519,4.26,2.01,6.27,--,6.27,3.47,0.00,0.00,3.47,4.26,0.61,4.87,4.87,2.61,0.00,0.00,2.61
AL,01,Morgan County,103,01103,2015,119.565,0.16,0.88,1.04,--,1.04,0.86,0.00,0.00,0.86,0.16,0.10,0.26,0.26,0.36,0.00,0.00,0.36
AL,01,Perry County,105,01105,2015,9.652,0.53,0.10,0.63,--,0.63,1.23,0.00,0.00,1.23,0.53,0.00,0.53,0.53,1.17,0.00,0.00,1.17
AL,01,Pickens County,107,01107,2015,20.864,0.00,1.95,1.95,--,1.95,4.24,0.00,0.00,4.24,0.00,1.69,1.69,1.69,4.13,0.00,0.00,4.13
AL,01,Pike County,109,01109,2015,33.046,0.41,1.05,1.46,--,1.46,3.36,0.00,0.00,3.36,0.41,0.74,1.15,1.15,3.20,0.00,0.00,3.20
AL,01,Randolph County,111,01111,2015,22.696,0.03,0.11,0.14,--,0.14,0.14,0.00,0.00,0.14,0.03,0.01,0.04,0.04,0.08,0.00,0.00,0.08
AL,01,Russell County,113,01113,2015,59.660,0.00,7.45,7.45,--,7.45,4.78,0.00,0.00,4.78,0.00,7.29,7.29,7.29,4.68,0.00,0.00,4.68
AL,01,St. Clair County,115,01115,2015,87.074,0.34,1.38,1.72,--,1.72,0.75,0.00,0.00,0.75,0.34,1.22,1.56,1.56,0.65,0.00,0.00,0.65
AL,01,Shelby County,117,01117,2015,208.713,0.00,5.17,5.17,--,5.17,2.45,0.00,0.00,2.45,0.00,3.97,3.97,3.97,1.83,0.00,0.00,1.83
AL,01,Sumter County,119,01119,2015,13.103,0.50,0.26,0.76,--,0.76,1.59,0.00,0.00,1.59,0.50,0.00,0.50,0.50,1.48,0.00,0.00,1.48
AL,01,Talladega County,121,01121,2015,80.862,0.61,4.17,4.78,--,4.78,6.09,0.00,0.00,6.09,0.61,3.34,3.95,3.95,5.63,0.00,0.00,5.63
AL,01,Tallapoosa County,123,01123,2015,40.844,0.02,0.89,0.91,--,0.91,1.44,0.00,0.00,1.44,0.02,0.42,0.44,0.44,1.14,0.00,0.00,1.14
AL,01,Tuscaloosa County,125,01125,2015,203.976,1.32,4.34,5.66,--,5.66,2.93,0.00,0.00,2.93,1.32,3.36,4.68,4.68,2.35,0.00,0.00,2.35
AL,01,Walker County,127,01127,2015,65.294,0.05,0.67,0.72,--,0.72,0.44,0.00,0.00,0.44,0.05,0.00,0.05,0.05,0.03,0.00,0.00,0.03
AL,01,Washington County,129,01129,2015,16.804,0.07,0.16,0.23,--,0.23,0.15,0.00,0.00,0.15,0.07,0.00,0.07,0.07,0.05,0.00,0.00,0.05
AL,01,Wilcox County,131,01131,2015,11.059,0.06,0.39,0.45,--,0.45,0.29,0.00,0.00,0.29,0.06,0.29,0.35,0.35,0.23,0.00,0.00,0.23
AL,01,Winston County,133,01133,2015,23.877,0.00,0.18,0.18,--,0.18,0.14,0.00,0.00,0.14,0.00,0.02,0.02,0.02,0.04,0.00,0.00,0.04
AK,02,Aleutians East Borough,013,02013,2015,3.341,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AK,02,Aleutians West Census Area,016,02016,2015,5.702,0.01,0.00,0.01,--,0.01,0.02,0.00,0.00,0.02,0.01,0.00,0.01,0.01,0.02,0.00,0.00,0.02
AK,02,Municipality of Anchorage,020,02020,2015,298.695,0.41,0.00,0.41,--,0.37,0.66,0.00,0.00,0.66,0.14,0.00,0.14,0.13,0.32,0.00,0.00,0.32
AK,02,Bethel Census Area,050,02050,2015,17.946,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AK,02,Bristol Bay Borough,060,02060,2015,0.892,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AK,02,Denali Borough,068,02068,2015,1.919,0.02,0.00,0.02,--,0.02,0.02,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AK,02,Dillingham Census Area,070,02070,2015,4.997,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AK,02,Fairbanks North Star Borough,090,02090,2015,99.631,0.24,0.00,0.24,--,0.22,0.53,0.00,0.00,0.53,0.21,0.00,0.21,0.19,0.49,0.00,0.00,0.49
AK,02,Haines Borough,100,02100,2015,2.534,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AK,02,Hoonah-Angoon Census Area,105,02105,2015,2.133,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AK,02,City & Borough of Juneau,110,02110,2015,32.756,0.01,0.00,0.01,--,0.01,0.02,0.00,0.00,0.02,0.01,0.00,0.01,0.01,0.02,0.00,0.00,0.02
AK,02,Kenai Peninsula Borough,122,02122,2015,58.059,0.06,0.00,0.06,--,0.06,0.11,0.00,0.00,0.11,0.03,0.00,0.03,0.03,0.07,0.00,0.00,0.07
AK,02,Ketchikan Gateway Borough,130,02130,2015,13.709,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AK,02,Kodiak Island Borough,150,02150,2015,13.889,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AK,02,Kusilvak Census Area,158,02158,2015,8.119,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AK,02,Lake and Peninsula Borough,164,02164,2015,1.563,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AK,02,Matanuska-Susitna Borough,170,02170,2015,101.095,0.52,0.02,0.54,--,0.49,1.06,0.00,0.07,1.13,0.41,0.02,0.43,0.39,0.92,0.00,0.07,0.99
AK,02,Nome Census Area,180,02180,2015,9.846,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AK,02,North Slope Borough,185,02185,2015,9.687,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AK,02,Northwest Arctic Borough,188,02188,2015,7.752,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AK,02,Petersburg Borough,195,02195,2015,3.177,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AK,02,Prince of Wales-Hyder Census Area,198,02198,2015,6.341,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AK,02,City & Borough of Sitka,220,02220,2015,8.863,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AK,02,Skagway Municipality,230,02230,2015,1.057,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AK,02,Southeast Fairbanks Census Area,240,02240,2015,6.839,0.23,0.00,0.23,--,0.21,0.53,0.00,0.00,0.53,0.23,0.00,0.23,0.21,0.53,0.00,0.00,0.53
AK,02,Valdez-Cordova Census Area,261,02261,2015,9.362,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AK,02,City & Borough of Wrangell,275,02275,2015,2.382,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AK,02,City & Borough of Yakutat,282,02282,2015,0.613,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AK,02,Yukon-Koyukuk Census Area,290,02290,2015,5.533,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AZ,04,Apache County,001,04001,2015,71.474,0.12,1.83,1.95,0.00,1.48,0.03,0.00,0.95,0.98,0.12,1.83,1.95,1.48,0.03,0.00,0.95,0.98
AZ,04,Cochise County,003,04003,2015,126.427,217.57,0.00,217.57,0.74,174.65,97.33,4.29,5.22,106.84,216.14,0.00,216.14,172.91,96.78,4.29,5.22,106.29
AZ,04,Coconino County,005,04005,2015,139.097,0.28,0.00,0.28,2.54,2.26,0.90,0.00,0.00,0.90,0.12,0.00,0.12,0.10,0.04,0.00,0.00,0.04
AZ,04,Gila County,007,04007,2015,53.159,1.96,1.09,3.05,0.44,2.78,0.79,0.00,0.14,0.93,1.10,0.48,1.58,1.26,0.38,0.00,0.14,0.52
AZ,04,Graham County,009,04009,2015,37.666,106.75,76.79,183.54,0.00,146.82,16.93,0.84,18.92,36.69,106.37,76.79,183.16,146.52,16.85,0.84,18.92,36.61
AZ,04,Greenlee County,011,04011,2015,9.529,6.10,3.30,9.40,0.00,7.52,0.24,0.00,2.46,2.70,5.98,3.30,9.28,7.42,0.21,0.00,2.46,2.67
AZ,04,La Paz County,012,04012,2015,20.152,78.04,534.82,612.86,0.09,490.36,4.79,14.83,80.16,99.78,77.74,534.82,612.56,490.05,4.72,14.83,80.16,99.71
AZ,04,Maricopa County,013,04013,2015,4167.947,953.85,278.95,1232.80,83.78,1006.24,20.43,20.23,203.56,244.22,904.92,244.15,1149.07,919.25,2.20,20.23,203.56,225.99
AZ,04,Mohave County,015,04015,2015,204.737,51.14,60.71,111.85,3.02,91.91,6.08,2.25,15.19,23.52,48.46,60.71,109.17,87.35,5.09,2.25,15.19,22.53
AZ,04,Navajo County,017,04017,2015,108.277,6.08,4.33,10.41,0.07,8.38,0.86,0.00,2.08,2.94,3.66,4.33,7.99,6.39,0.06,0.00,2.08,2.14
AZ,04,Pima County,019,04019,2015,1010.025,60.23,32.03,92.26,10.20,81.97,4.16,0.00,20.94,25.10,51.19,32.03,83.22,66.58,0.39,0.00,20.94,21.33
AZ,04,Pinal County,021,04021,2015,406.584,360.06,575.05,935.11,2.71,750.25,15.34,13.18,209.89,238.41,353.10,571.83,924.93,739.94,13.08,13.18,209.89,236.15
AZ,04,Santa Cruz County,023,04023,2015,46.461,6.97,0.00,6.97,0.06,5.63,0.40,0.15,1.77,2.32,5.01,0.00,5.01,4.01,0.00,0.15,1.77,1.92
AZ,04,Yavapai County,025,04025,2015,222.255,12.49,18.65,31.14,0.76,25.23,2.11,0.05,4.43,6.59,8.77,18.65,27.42,21.94,0.85,0.05,4.43,5.33
AZ,04,Yuma County,027,04027,2015,204.275,109.60,970.09,1079.69,1.35,864.84,81.15,1.62,164.53,247.30,107.31,967.86,1075.17,860.14,80.26,1.62,164.53,246.41
AR,05,Arkansas County,001,05001,2015,18.433,901.74,774.07,1675.81,--,1089.28,0.07,0.00,399.13,399.20,--,--,--,--,--,--,--,--
AR,05,Ashley County,003,05003,2015,20.838,142.54,17.29,159.83,--,103.89,0.00,0.00,97.58,97.58,--,--,--,--,--,--,--,--
AR,05,Baxter County,005,05005,2015,41.053,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,--,--,--,--,--,--,--,--
AR,05,Benton County,007,05007,2015,249.672,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,--,--,--,--,--,--,--,--
AR,05,Boone County,009,05009,2015,37.222,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,--,--,--,--,--,--,--,--
AR,05,Bradley County,011,05011,2015,11.094,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,--,--,--,--,--,--,--,--
AR,05,Calhoun County,013,05013,2015,5.229,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,--,--,--,--,--,--,--,--
AR,05,Carroll County,015,05015,2015,27.704,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,--,--,--,--,--,--,--,--
AR,05,Chicot County,017,05017,2015,11.027,191.42,80.34,271.76,--,179.91,25.85,0.00,179.63,205.48,--,--,--,--,--,--,--,--
AR,05,Clark County,019,05019,2015,22.633,0.00,5.37,5.37,--,3.49,0.00,0.00,1.81,1.81,--,--,--,--,--,--,--,--
AR,05,Clay County,021,05021,2015,15.109,816.18,13.92,830.10,--,541.23,4.20,0.00,182.82,187.02,--,--,--,--,--,--,--,--
AR,05,Cleburne County,023,05023,2015,25.467,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,--,--,--,--,--,--,--,--
AR,05,Cleveland County,025,05025,2015,8.311,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,--,--,--,--,--,--,--,--
AR,05,Columbia County,027,05027,2015,24.114,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,--,--,--,--,--,--,--,--
AR,05,Conway County,029,05029,2015,21.019,2.73,1.32,4.05,--,2.63,0.00,0.00,2.09,2.09,--,--,--,--,--,--,--,--
AR,05,Craighead County,031,05031,2015,104.354,415.47,80.66,496.13,--,322.98,1.75,0.00,259.43,261.18,--,--,--,--,--,--,--,--
AR,05,Crawford County,033,05033,2015,61.703,0.88,1.61,2.49,--,1.74,0.91,0.00,0.99,1.90,--,--,--,--,--,--,--,--
AR,05,Crittenden County,035,05035,2015,48.963,254.92,1.21,256.13,--,176.22,60.58,0.00,99.61,160.19,--,--,--,--,--,--,--,--
AR,05,Cross County,037,05037,2015,17.284,547.46,45.98,593.44,--,390.48,16.73,0.00,194.20,210.93,--,--,--,--,--,--,--,--
AR,05,Dallas County,039,05039,2015,7.604,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,--,--,--,--,--,--,--,--
AR,05,Desha County,041,05041,2015,11.965,469.24,159.25,628.49,--,409.78,4.22,0.00,232.72,236.94,--,--,--,--,--,--,--,--
AR,05,Drew County,043,05043,2015,18.778,41.34,8.82,50.16,--,32.65,0.28,0.00,29.21,29.49,--,--,--,--,--,--,--,--
AR,05,Faulkner County,045,05045,2015,121.552,0.89,4.60,5.49,--,3.57,0.00,0.00,2.82,2.82,--,--,--,--,--,--,--,--
AR,05,Franklin County,047,05047,2015,17.702,0.00,0.01,0.01,--,0.01,0.00,0.00,0.07,0.07,--,--,--,--,--,--,--,--
AR,05,Fulton County,049,05049,2015,12.204,0.24,0.00,0.24,--,0.16,0.00,0.00,0.09,0.09,--,--,--,--,--,--,--,--
AR,05,Garland County,051,05051,2015,97.177,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,--,--,--,--,--,--,--,--
AR,05,Grant County,053,05053,2015,18.102,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,--,--,--,--,--,--,--,--
AR,05,Greene County,055,05055,2015,44.196,346.28,10.07,356.35,--,233.05,5.84,0.00,134.38,140.22,--,--,--,--,--,--,--,--
AR,05,Hempstead County,057,05057,2015,22.084,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,--,--,--,--,--,--,--,--
AR,05,Hot Spring County,059,05059,2015,33.426,0.00,2.12,2.12,--,1.38,0.00,0.00,1.64,1.64,--,--,--,--,--,--,--,--
AR,05,Howard County,061,05061,2015,13.300,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,--,--,--,--,--,--,--,--
AR,05,Independence County,063,05063,2015,37.052,66.88,28.41,95.29,--,63.37,7.85,0.00,43.03,50.88,--,--,--,--,--,--,--,--
AR,05,Izard County,065,05065,2015,13.445,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,--,--,--,--,--,--,--,--
AR,05,Jackson County,067,05067,2015,17.338,561.02,34.17,595.19,--,388.06,4.64,0.00,193.55,198.19,--,--,--,--,--,--,--,--
AR,05,Jefferson County,069,05069,2015,71.565,291.09,68.85,359.94,--,235.76,7.04,0.00,144.14,151.18,--,--,--,--,--,--,--,--
AR,05,Johnson County,071,05071,2015,26.141,0.01,0.00,0.01,--,0.01,0.00,0.00,0.08,0.08,--,--,--,--,--,--,--,--
AR,05,Lafayette County,073,05073,2015,6.996,13.60,0.00,13.60,--,9.26,2.82,0.00,6.24,9.06,--,--,--,--,--,--,--,--
AR,05,Lawrence County,075,05075,2015,16.779,230.61,25.02,255.63,--,166.16,0.59,0.00,132.90,133.49,--,--,--,--,--,--,--,--
AR,05,Lee County,077,05077,2015,9.650,326.52,7.78,334.30,--,221.98,23.84,0.00,144.00,167.84,--,--,--,--,--,--,--,--
AR,05,Lincoln County,079,05079,2015,13.820,234.06,31.01,265.07,--,172.30,0.05,0.00,117.86,117.91,--,--,--,--,--,--,--,--
AR,05,Little River County,081,05081,2015,12.472,9.96,23.43,33.39,--,21.70,0.00,0.00,10.12,10.12,--,--,--,--,--,--,--,--
AR,05,Logan County,083,05083,2015,21.714,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,--,--,--,--,--,--,--,--
AR,05,Lonoke County,085,05085,2015,71.645,584.51,317.30,901.81,--,586.18,0.24,0.00,249.17,249.41,--,--,--,--,--,--,--,--
AR,05,Madison County,087,05087,2015,15.767,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,--,--,--,--,--,--,--,--
AR,05,Marion County,089,05089,2015,16.185,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,--,--,--,--,--,--,--,--
AR,05,Miller County,091,05091,2015,43.908,0.00,0.23,0.23,--,0.16,0.06,0.00,0.06,0.12,--,--,--,--,--,--,--,--
AR,05,Mississippi County,093,05093,2015,43.738,34.96,0.29,35.25,--,24.78,13.71,0.00,11.94,25.65,--,--,--,--,--,--,--,--
AR,05,Monroe County,095,05095,2015,7.399,281.53,29.46,310.99,--,202.14,0.10,0.00,145.51,145.61,--,--,--,--,--,--,--,--
